QA,ans,length,sentiment,sim_wrt_topic,topic_rank
lion kingdom mini,"[('lion', 1.0), ('kingdom', 1.6931471805599454), ('mini', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9926972985267639,3
lion kingdom mini,"[('lion', 1.0), ('kingdom', 1.6931471805599454), ('mini', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.99274080991745,0
lion kingdom mini,"[('lion', 1.0), ('kingdom', 1.6931471805599454), ('mini', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9039969444274902,4
lion kingdom mini,"[('lion', 1.0), ('kingdom', 1.6931471805599454), ('mini', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9996265769004822,2
project playtime lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('project', 2.09861228866811), ('playtime', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.999605655670166,0
american heiress lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('american', 2.09861228866811), ('heiress', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9997884035110474,3
project playtime lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('project', 2.09861228866811), ('playtime', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9998481273651123,3
american heiress lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('american', 2.09861228866811), ('heiress', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9879640340805054,2
project playtime lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('project', 2.09861228866811), ('playtime', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.988227903842926,2
american heiress lion king,"[('lion', 1.0), ('king', 1.1823215567939547), ('american', 2.09861228866811), ('heiress', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9995407462120056,0
lion king adventure at pride rock vg,"[('lion', 1.0), ('king', 1.1823215567939547), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('adventure', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.9601655602455139,2
lion king adventure at pride rock vg,"[('lion', 1.0), ('king', 1.1823215567939547), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('adventure', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.9451341032981873,0
lion king adventure at pride rock vg,"[('lion', 1.0), ('king', 1.1823215567939547), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('adventure', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.9393558502197266,3
lion king adventure at pride rock vg,"[('lion', 1.0), ('king', 1.1823215567939547), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('adventure', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.9852182865142822,4
lion king adventure at pride rock vg,"[('lion', 1.0), ('king', 1.1823215567939547), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('adventure', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.9267280101776123,1
the lion king takes place in the pride lands of africa where lion rules over the other animals as king,"[('lion', 1.0), ('lion', 1.0), ('king', 1.1823215567939547), ('king', 1.1823215567939547), ('pride', 1.6931471805599454)]",20,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",0.9383405447006226,1
the lion king takes place in the pride lands of africa where lion rules over the other animals as king,"[('lion', 1.0), ('lion', 1.0), ('king', 1.1823215567939547), ('king', 1.1823215567939547), ('pride', 1.6931471805599454)]",20,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",0.9469203948974609,4
as dawn breaks all the animals of the pride lands are summoned to pride rock the home of the pride of lions,"[('pride', 1.6931471805599454), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('pride', 1.6931471805599454), ('dawn', 2.09861228866811)]",22,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.7351}",0.9499952793121338,1
as dawn breaks all the animals of the pride lands are summoned to pride rock the home of the pride of lions,"[('pride', 1.6931471805599454), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('pride', 1.6931471805599454), ('dawn', 2.09861228866811)]",22,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.7351}",0.8715949654579163,4
some time later the animals of the pride lands gather once again at pride rock cheering at simba and nala as they overlook the kingdom,"[('pride', 1.6931471805599454), ('pride', 1.6931471805599454), ('rock', 1.6931471805599454), ('kingdom', 1.6931471805599454), ('time', 2.09861228866811)]",25,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7964}",0.9412547945976257,1
